Club,Total Seasons,Never Relgated,Founding Club
Arsenal,22,TRUE,TRUE
Aston Villa,22,TRUE,TRUE
Chelsea,22,TRUE,TRUE
Everton,22,TRUE,TRUE
Liverpool,22,TRUE,TRUE
Manchester United,22,TRUE,TRUE
Tottenham Hotspur,22,TRUE,TRUE
Newcastle United,20,FALSE,FALSE
Blackburn Rovers,18,FALSE,TRUE
Manchester City,17,FALSE,FALSE
Bolton Wanderers,13,FALSE,FALSE
Fulham,13,TRUE,FALSE
Sunderland,13,FALSE,FALSE
West Bromwich Albion,8,FALSE,FALSE
Wigan Athletic,8,FALSE,FALSE
Norwich City,7,FALSE,TRUE
Queens Park Rangers,6,FALSE,TRUE
Stoke City,6,TRUE,FALSE
Wolverhampton Wanderers,4,FALSE,FALSE
Swansea City,3,TRUE,FALSE
