Team,Ownership,"Turnover, £m (2011-12)","Turnover, £m (2010-11)","Gate and Matchday income, £m","TV and Broadcasting, £m","Merchandising/ Retail, £m",Sponsorship and advertising,"Corporate Hospitality, £m","Commercial, £m","Europa League, £m","Football activities, £m","Player Trading, £m","Hotel, £m","Property Development, £m","Other income, £m","Compensation, £m","Wage Bill, £m (2011-12)",Wages as Proportion of Turnover (%) (2011-12),"Wage Bill, £m (2010-11)","Loss before Tax, £m (2011-12)","Loss before Tax, £m (2010-11)","Profit before Tax, £m (2011-12)","Profit before Tax, £m (2010-11)","Net Debt, £m","Interest payable, £m","Highest paid director, £m",Chief Executive,Notes
Arsenal,"Kroenke Sports Enterprises UK (registered in Delaware, owned by US resident Stan Kroenke): 62%Red and White Securities Limited (registered in Jersey, owned by Russian resident Alisher Usmanov and Farhad Moshiri) 27%",245,258,95,85,18,,,34,,,3,,8,,,143,58,124,,,37,,98,15,2.05 - Ivan Gazidis,,Accounts for the year to May 31 2012
Aston Villa,"Owned by Randy Lerner, via Reform Acquisitions LLC, a USA company",80,92,20,47,,,,14,,,,,,,,70,87.5,83,18,54,,,122,7,0.256 - unnamed,Paul Faulkner,Accounts for the year to May 31 2012
Blackburn Rovers,"Owned by Venkateshwara Hatcheries (Venky’s) of Pune, in India",54,58,6,42,,,,9,,,,,,,,50,93,,,19,4,,25,0.2,0.135 - unnamed,,Accounts for the year to June 30 2012
Bolton Wanderers,"95% owned by Edwin Davies, resident in the Isle of Man, a tax haven, via his private trust, Fildraw, registered in Bermuda",65,68,8,43,2,4,2,,,,,6,,,,55,85,56,22,26,,,137,6,"0.858 - presumed to be Allan Duckworth, includes £397,000 pay-off",,Accounts for the year to June 30 2012
Chelsea,"Wholly owned by Roman Abramovich, registered at Companies House as a Russian resident",261,229,78,113,,,,70,,,,,,,,173,66,190,4,78,,,878,0,0.911 - unnamed,Ron Gourlay,"Accounts (of the holding company, Fordstam) for the year to June 30 2012"
Everton,"Shares in the Everton Football Club Company Limited are owned by: Bill Kenwright-  25%, Jon Woods- 19%, Robert Earl (resident of Florida)- 23%",81,82,17,53,,,,11,,,,,,,,63,78,58,9,5,,,46,4,No directors were paid; chief executive Robert Elstone is not a director,,Accounts for the year to May 31 2012
Fulham,"Owned by Mafco Holdings Limited, a Bermuda (tax haven) company, which is owned by Mohamed Al Fayed and his family",79,76,11,51,,12,,,3,,,,,,1,62,78,58,18,,,5,193,0.3,0.704 - unnamed,Alastair Mackintosh,Accounts for the year to June 30 2012. £12m figure is sponsorship and commercial
Liverpool,"Fenway Sports Group, registered in the USA, of which John W Henry is the principal shareholder",169,184,42,63,,,,64,,,,,,,,119,70,,41,49,,,87,4,0.657 - unnamed,Ian Ayre,Accounts for the ten months to July 31 2012
Manchester City,"Wholly owned by Sheikh Mansour bin Zayed Al Nahyan, via the Abu Dhabi United Group, registered in the United Arab Emirates",231,153,22,88,,,,121,,,,,,,,202,87,174,99,197,,,58,3,1.1 - unnamed,John MacBeath was acting chief executive,Accounts for the year to May 31 2012
Manchester United,"Owned by Malcolm Glazer's six children via Red Football LLC a company registered registered in the low tax state of Nevada, USA",320,331,99,104,,,,118,,,,,,,,162,51,153,5,,,12,366,50,2.593 - unnamed,David Gill,"Accounts for Red Football Shareholder Ltd, the largest parent company in the Glazers' structure for owning United, for the year to June 30 2011. £50m figure is for interest and other finance costs"
Newcastle United,"Mike Ashley owns Newcastle United via his company, MASH Holdings Limited",93,89,24,56,,,,14,,,,,,,,64,69,54,,,1,33,129,0.07,0.266 - unnamed,Derek Llambias is managing director,Accounts for the year to June 30 2012
Norwich City,Majority owned by Delia Smith and her husband Michael Wynn Jones,75,23,11,50,,,,14,,,,,,,,37,49,18,,7,16,,0 (£1m net cash in the bank),2,1.533 - unnamed,David McNally,Accounts for the year to May 31 2012
